filename,non_vulnerable_present,non_vulnerable_nearby,vulnerable_present,vulnerable_nearby,crowded_critical
000163.txt,1,0,0,0,0
000164.txt,1,0,1,0,0
000165.txt,1,1,0,0,0
000166.txt,1,0,0,0,0
000167.txt,0,0,1,1,0
000168.txt,1,0,0,0,0
000169.txt,1,1,0,0,1
000170.txt,1,0,0,0,0
000171.txt,1,0,0,0,0
000172.txt,1,1,0,0,0
000173.txt,1,1,0,0,1
000174.txt,1,0,0,0,0
000175.txt,1,0,0,0,0
000176.txt,1,1,0,0,0
000177.txt,1,0,1,1,0
000178.txt,1,1,0,0,0
000179.txt,1,0,1,0,0
000180.txt,0,0,0,0,0
000181.txt,1,1,0,0,1
000182.txt,1,1,0,0,0
000183.txt,1,1,0,0,0
000184.txt,1,0,0,0,0
000185.txt,1,1,0,0,0
000186.txt,1,0,1,0,0
000187.txt,0,0,1,0,0
000188.txt,1,1,0,0,0
000189.txt,0,0,1,1,1
000190.txt,1,1,1,1,0
000191.txt,1,1,0,0,0
000192.txt,1,1,0,0,0
000193.txt,0,0,1,1,0
000194.txt,1,0,1,0,0
000195.txt,0,0,1,1,0
000196.txt,1,0,0,0,0
000197.txt,1,1,0,0,0
000198.txt,1,1,0,0,0
000199.txt,0,0,1,1,0
000200.txt,1,1,1,1,0
000201.txt,1,1,1,0,0
000202.txt,0,0,0,0,0
000203.txt,1,0,1,0,0
000204.txt,1,0,0,0,0
000205.txt,1,0,0,0,0
000206.txt,1,0,1,0,0
000207.txt,1,0,1,0,0
000208.txt,1,1,1,0,0
000209.txt,0,0,1,1,0
000210.txt,1,0,0,0,0
000211.txt,1,1,1,0,0
000212.txt,1,0,0,0,0
000213.txt,1,1,0,0,1
000214.txt,1,0,1,1,0
000215.txt,1,1,0,0,0
000216.txt,1,1,0,0,0
000217.txt,1,1,1,1,1
000218.txt,1,1,0,0,0
000219.txt,1,0,0,0,0
000220.txt,0,0,0,0,0
000221.txt,1,1,1,1,0
000222.txt,1,1,0,0,0
000223.txt,1,1,1,0,0
000224.txt,0,0,0,0,0
000225.txt,1,0,0,0,0
000226.txt,1,1,0,0,0
000227.txt,1,0,0,0,0
000228.txt,1,0,1,0,0
000229.txt,1,0,0,0,0
000230.txt,1,0,0,0,0
000231.txt,1,0,0,0,0
000232.txt,1,0,1,0,0
000233.txt,1,0,0,0,0
000234.txt,1,1,0,0,0
000235.txt,1,1,0,0,0
000236.txt,1,1,0,0,0
000237.txt,1,0,0,0,0
000238.txt,1,0,0,0,0
000239.txt,1,0,0,0,0
000240.txt,1,0,0,0,0
000241.txt,1,0,0,0,0
000242.txt,1,0,0,0,0
000243.txt,1,0,0,0,0
000244.txt,1,1,0,0,1
000245.txt,1,1,1,0,0
000246.txt,1,0,0,0,0
000247.txt,1,0,0,0,0
000248.txt,1,1,0,0,0
000249.txt,1,1,0,0,0
000250.txt,1,1,0,0,0
000251.txt,1,0,1,1,0
000252.txt,1,1,0,0,0
000253.txt,1,0,0,0,0
000254.txt,1,1,1,1,1
000255.txt,1,1,0,0,0
000256.txt,1,0,0,0,0
000257.txt,1,0,0,0,0
000258.txt,1,0,0,0,0
000259.txt,1,1,0,0,0
000260.txt,0,0,0,0,0
000261.txt,1,0,0,0,0
000262.txt,1,1,0,0,0
000263.txt,0,0,1,1,0
000264.txt,1,1,1,0,1
000265.txt,0,0,1,1,0
000266.txt,1,1,1,1,1
000267.txt,1,0,0,0,0
000268.txt,1,1,1,0,0
000269.txt,1,0,0,0,0
000270.txt,1,0,0,0,0
000271.txt,1,0,1,0,0
000272.txt,1,0,0,0,0
000273.txt,1,0,1,0,0
000274.txt,1,0,1,1,0
000275.txt,1,1,1,0,1
000276.txt,1,0,0,0,0
000277.txt,1,0,1,1,1
000278.txt,0,0,0,0,0
000279.txt,1,1,0,0,0
000280.txt,1,0,0,0,0
000281.txt,1,0,0,0,0
000282.txt,1,1,0,0,0
000283.txt,1,0,0,0,0
000284.txt,1,1,0,0,0
000285.txt,1,1,0,0,0
000286.txt,1,1,1,1,1
000287.txt,0,0,1,1,0
000288.txt,0,0,1,1,0
000289.txt,1,0,0,0,0
000290.txt,0,0,1,1,0
000291.txt,1,0,0,0,0
000292.txt,1,0,1,0,0
000293.txt,1,1,0,0,0
000294.txt,0,0,1,1,0
000295.txt,1,1,1,1,0
000296.txt,1,1,0,0,0
000297.txt,1,0,0,0,0
000298.txt,0,0,1,1,0
000299.txt,0,0,0,0,0
000300.txt,1,0,0,0,0
000301.txt,1,1,0,0,0
000302.txt,1,0,0,0,0
000303.txt,1,0,1,0,0
000304.txt,0,0,0,0,0
000305.txt,1,0,0,0,0
000306.txt,1,0,1,0,0
000307.txt,1,0,1,0,0
000308.txt,1,0,1,0,0
000309.txt,1,1,0,0,0
000310.txt,1,1,1,1,1
000311.txt,1,1,1,0,1
000312.txt,1,1,1,0,0
000313.txt,1,0,0,0,0
000314.txt,1,1,0,0,0
000315.txt,1,1,0,0,0
000316.txt,1,1,1,0,1
000317.txt,0,0,1,1,0
000318.txt,1,1,0,0,0
000319.txt,1,0,0,0,0
000320.txt,1,1,1,0,0
000321.txt,1,1,0,0,0
000322.txt,0,0,0,0,0
000323.txt,1,1,0,0,0
000324.txt,0,0,1,1,0
000325.txt,1,1,1,0,0
000326.txt,1,0,0,0,0
000327.txt,0,0,1,1,0
000328.txt,1,1,0,0,1
000329.txt,1,0,1,1,0
000330.txt,1,1,1,0,0
000331.txt,1,1,1,0,0
000332.txt,1,0,1,1,1
000333.txt,1,0,1,0,0
000334.txt,1,0,0,0,0
000335.txt,1,1,1,0,1
000336.txt,1,0,1,1,1
000337.txt,0,0,1,1,0
000338.txt,1,1,0,0,0
000339.txt,1,1,1,1,1
000340.txt,1,1,0,0,0
000341.txt,1,1,1,1,1
000342.txt,0,0,1,1,1
000343.txt,1,1,0,0,0
000344.txt,1,0,0,0,0
000345.txt,1,1,0,0,0
000346.txt,1,1,0,0,0
000347.txt,1,0,1,0,0
000348.txt,1,1,1,0,0
000349.txt,1,1,0,0,0
000350.txt,1,1,0,0,0
000351.txt,1,1,0,0,0
000352.txt,1,1,0,0,1
000353.txt,1,1,0,0,0
000354.txt,1,1,1,0,0
000355.txt,1,0,0,0,0
000356.txt,1,1,0,0,0
000357.txt,1,1,0,0,0
000358.txt,1,0,0,0,0
000359.txt,1,0,0,0,0
000360.txt,1,0,1,0,0
000361.txt,1,1,0,0,0
000362.txt,1,1,0,0,0
000363.txt,1,0,0,0,0
000364.txt,0,0,1,1,0
000365.txt,0,0,1,1,0
000366.txt,1,0,1,0,0
000367.txt,0,0,0,0,0
000368.txt,0,0,1,1,0
000369.txt,1,0,0,0,0
000370.txt,1,1,0,0,0
000371.txt,1,1,1,1,0
000372.txt,1,0,0,0,0
000373.txt,1,1,0,0,0
000374.txt,1,0,0,0,0
000375.txt,1,1,0,0,0
000376.txt,1,0,1,0,0
000377.txt,1,1,0,0,0
000378.txt,1,0,0,0,0
000379.txt,1,0,1,0,0
000380.txt,1,0,1,0,0
000381.txt,0,0,1,1,0
000382.txt,1,1,1,0,0
000383.txt,0,0,1,1,1
000384.txt,1,0,1,1,1
000385.txt,1,1,0,0,0
000386.txt,1,1,0,0,0
000387.txt,1,0,0,0,0
000388.txt,1,0,0,0,0
000389.txt,1,1,0,0,1
000390.txt,1,0,0,0,0
000391.txt,1,0,0,0,0
000392.txt,1,1,0,0,1
000393.txt,1,1,0,0,1
000394.txt,1,0,1,1,0
000395.txt,1,1,0,0,1
000396.txt,0,0,0,0,0
000397.txt,1,0,1,0,0
000398.txt,0,0,1,1,0
000399.txt,1,0,0,0,0
000400.txt,1,0,0,0,0
000401.txt,1,1,1,1,1
000402.txt,1,0,0,0,0
000403.txt,1,0,0,0,0
000404.txt,1,1,0,0,0
000405.txt,1,1,0,0,0
000406.txt,1,0,0,0,0
000407.txt,0,0,1,1,0
000408.txt,1,1,1,0,0
000409.txt,1,1,1,0,0
000410.txt,1,0,0,0,0
000411.txt,0,0,0,0,0
000412.txt,1,1,1,0,0
000413.txt,1,1,0,0,0
000414.txt,1,1,0,0,0
000415.txt,1,1,0,0,1
000416.txt,1,0,0,0,0
000417.txt,1,0,0,0,0
000418.txt,1,0,0,0,0
000419.txt,1,0,0,0,0
000420.txt,1,1,0,0,0
000421.txt,1,1,0,0,0
000422.txt,1,1,1,1,1
000423.txt,1,1,1,1,1
000424.txt,1,1,0,0,0
000425.txt,1,1,0,0,0
000426.txt,1,1,0,0,0
000427.txt,1,1,0,0,0
000428.txt,1,0,1,0,0
000429.txt,1,1,0,0,0
000430.txt,1,1,0,0,0
000431.txt,1,1,0,0,0
000432.txt,1,1,0,0,0
000433.txt,1,0,0,0,0
000434.txt,1,0,0,0,0
000435.txt,1,1,1,0,0
000436.txt,1,1,1,1,1
000437.txt,0,0,0,0,0
000438.txt,1,0,0,0,0
000439.txt,1,1,0,0,0
000440.txt,1,0,0,0,0
000441.txt,1,1,0,0,0
000442.txt,1,1,1,0,0
000443.txt,1,1,0,0,0
000444.txt,1,0,0,0,0
000445.txt,1,1,1,1,1
000446.txt,1,1,1,0,0
000447.txt,1,0,0,0,0
000448.txt,1,0,1,0,0
000449.txt,1,0,1,0,0
000450.txt,1,0,0,0,0
000451.txt,1,0,0,0,0
000452.txt,1,0,0,0,0
000453.txt,1,0,1,0,0
000454.txt,1,0,0,0,0
000455.txt,1,1,0,0,0
000456.txt,1,0,0,0,0
000457.txt,1,0,0,0,0
000458.txt,1,1,0,0,1
000459.txt,1,0,0,0,0
000460.txt,1,1,1,1,1
000461.txt,1,0,1,0,0
000462.txt,1,1,1,0,1
000463.txt,1,0,1,0,0
000464.txt,1,1,1,1,0
000465.txt,0,0,1,1,0
000466.txt,1,0,0,0,0
000467.txt,0,0,0,0,0
000468.txt,1,1,0,0,0
000469.txt,0,0,1,1,1
000470.txt,1,0,0,0,0
000471.txt,1,1,1,0,0
000472.txt,1,1,1,1,1
000473.txt,1,0,0,0,0
000474.txt,0,0,0,0,0
000475.txt,1,1,0,0,1
000476.txt,1,0,0,0,0
000477.txt,0,0,1,1,0
000478.txt,1,0,0,0,0
000479.txt,1,0,0,0,0
000480.txt,1,0,0,0,0
000481.txt,1,0,1,0,0
000482.txt,1,1,0,0,0
000483.txt,1,1,0,0,0
000484.txt,1,1,1,0,0
000485.txt,1,1,0,0,0
000486.txt,1,1,1,0,0
000487.txt,0,0,1,1,0
000488.txt,1,1,0,0,0
000489.txt,1,0,0,0,0
000490.txt,1,0,1,1,0
000491.txt,1,0,0,0,0
000492.txt,1,1,0,0,0
000493.txt,1,1,0,0,0
000494.txt,1,1,0,0,0
000495.txt,1,0,1,0,0
000496.txt,0,0,1,0,0
000497.txt,1,1,0,0,0
000498.txt,0,0,1,1,0
000499.txt,0,0,0,0,0
000500.txt,1,1,0,0,0
000501.txt,1,1,1,1,0
000502.txt,1,1,1,0,1
000503.txt,1,0,0,0,0
000504.txt,1,1,0,0,0
000505.txt,1,0,1,0,0
000506.txt,1,1,0,0,0
000507.txt,1,1,0,0,0
000508.txt,1,0,0,0,0
000509.txt,0,0,1,1,0
000510.txt,1,1,0,0,0
000511.txt,1,0,0,0,0
000512.txt,1,0,0,0,0
000513.txt,1,1,0,0,0
000514.txt,1,0,1,0,0
000515.txt,1,1,0,0,0
000516.txt,1,0,0,0,0
000517.txt,1,0,0,0,0
000518.txt,1,0,1,1,1
000519.txt,1,1,1,0,1
000520.txt,0,0,1,1,0
000521.txt,1,0,0,0,0
000522.txt,1,1,1,0,0
000523.txt,1,0,0,0,0
000524.txt,1,0,0,0,0
000525.txt,0,0,0,0,0
000526.txt,0,0,0,0,0
000527.txt,1,1,0,0,0
000528.txt,1,0,1,0,0
000529.txt,1,1,1,0,0
000530.txt,1,0,1,1,0
000531.txt,1,0,0,0,0
000532.txt,0,0,1,1,0
000533.txt,1,0,0,0,0
000534.txt,0,0,0,0,0
000535.txt,1,0,1,1,1
000536.txt,1,1,1,0,0
000537.txt,1,0,0,0,0
000538.txt,0,0,0,0,0
000539.txt,1,0,0,0,0
000540.txt,1,1,0,0,1
000541.txt,1,1,0,0,0
000542.txt,1,0,0,0,0
000543.txt,1,0,0,0,0
000544.txt,1,0,0,0,0
000545.txt,1,0,0,0,0
000546.txt,1,1,0,0,0
000547.txt,1,0,0,0,0
000548.txt,1,1,1,0,0
000549.txt,1,1,0,0,0
000550.txt,1,0,0,0,0
000551.txt,1,0,0,0,0
000552.txt,1,1,0,0,0
000553.txt,1,1,1,0,1
000554.txt,1,1,0,0,0
000555.txt,1,0,0,0,0
000556.txt,1,0,0,0,0
000557.txt,1,1,0,0,0
000558.txt,1,1,0,0,0
000559.txt,1,0,1,1,1
000560.txt,1,0,1,0,0
000561.txt,1,1,0,0,0
000562.txt,1,1,0,0,0
000563.txt,0,0,0,0,0
000564.txt,1,1,1,0,0
000565.txt,0,0,0,0,0
000566.txt,1,0,0,0,0
000567.txt,1,1,1,0,0
000568.txt,0,0,0,0,0
000569.txt,1,0,0,0,0
000570.txt,0,0,0,0,0
000571.txt,1,0,1,1,1
000572.txt,1,1,0,0,0
000573.txt,1,1,0,0,0
000574.txt,0,0,0,0,0
000575.txt,1,1,1,1,0
000576.txt,1,0,0,0,0
000577.txt,1,1,0,0,0
000578.txt,1,1,0,0,0
000579.txt,1,1,0,0,1
000580.txt,1,0,0,0,0
000581.txt,1,0,0,0,0
000582.txt,1,1,0,0,0
000583.txt,1,0,1,1,0
000584.txt,1,0,0,0,0
000585.txt,1,0,1,0,0
000586.txt,1,1,0,0,0
000587.txt,1,0,0,0,0
000588.txt,1,0,0,0,0
000589.txt,1,1,0,0,0
000590.txt,1,1,1,0,1
000591.txt,1,1,0,0,0
000592.txt,1,1,0,0,0
000593.txt,1,0,0,0,0
000594.txt,1,0,0,0,0
000595.txt,1,1,1,1,0
000596.txt,1,0,1,1,1
000597.txt,1,1,0,0,1
000598.txt,0,0,1,1,0
000599.txt,1,1,1,0,0
000600.txt,1,0,0,0,0
000601.txt,1,0,0,0,0
000602.txt,1,0,0,0,0
000603.txt,1,1,0,0,0
000604.txt,0,0,1,1,0
000605.txt,1,0,0,0,0
000606.txt,0,0,0,0,0
000607.txt,1,0,0,0,0
000608.txt,1,0,1,0,0
000609.txt,1,0,0,0,0
000610.txt,1,0,0,0,0
000611.txt,1,0,0,0,0
000612.txt,1,1,0,0,1
000613.txt,1,0,1,0,0
000614.txt,1,1,1,0,0
000615.txt,1,1,1,0,0
000616.txt,1,1,0,0,0
000617.txt,1,1,0,0,0
000618.txt,1,1,1,1,0
000619.txt,1,1,0,0,0
000620.txt,1,1,0,0,0
000621.txt,1,1,0,0,0
000622.txt,1,0,1,0,0
000623.txt,1,0,0,0,0
000624.txt,1,0,0,0,0
000625.txt,0,0,1,1,1
000626.txt,1,1,0,0,0
000627.txt,1,1,0,0,0
000628.txt,1,0,0,0,0
000629.txt,1,0,0,0,0
000630.txt,1,0,0,0,0
000631.txt,1,1,0,0,0
000632.txt,1,0,1,1,0
000633.txt,0,0,1,1,0
000634.txt,1,0,0,0,0
000635.txt,1,0,0,0,0
000636.txt,0,0,0,0,0
000637.txt,1,1,0,0,0
000638.txt,1,1,1,0,0
000639.txt,1,1,1,0,0
000640.txt,1,1,0,0,0
000641.txt,1,1,0,0,0
000642.txt,1,1,0,0,0
000643.txt,1,0,0,0,0
000644.txt,1,0,1,0,0
000645.txt,1,0,0,0,0
000646.txt,0,0,1,1,0
000647.txt,1,0,0,0,0
000648.txt,1,1,0,0,0
000649.txt,1,1,0,0,0
000650.txt,1,0,0,0,0
000651.txt,1,1,0,0,0
000652.txt,1,1,0,0,0
000653.txt,0,0,0,0,0
000654.txt,1,0,0,0,0
000655.txt,1,0,0,0,0
000656.txt,0,0,0,0,0
000657.txt,0,0,0,0,0
000658.txt,1,0,0,0,0
000659.txt,1,0,1,0,0
000660.txt,1,0,0,0,0
000661.txt,1,0,0,0,0
000662.txt,1,0,0,0,0
000663.txt,0,0,1,1,0
000664.txt,1,1,0,0,0
000665.txt,1,0,0,0,0
000666.txt,1,1,0,0,0
000667.txt,1,1,0,0,0
000668.txt,1,1,0,0,0
000669.txt,1,1,0,0,0
000670.txt,1,0,0,0,0
000671.txt,0,0,1,1,0
000672.txt,1,0,0,0,0
000673.txt,1,1,0,0,0
000674.txt,1,1,1,0,0
000675.txt,0,0,1,1,0
000676.txt,1,0,0,0,0
000677.txt,1,1,0,0,0
000678.txt,1,1,0,0,0
000679.txt,1,0,1,1,0
000680.txt,1,1,0,0,0
000681.txt,1,0,0,0,0
000682.txt,0,0,0,0,0
000683.txt,1,0,0,0,0
000684.txt,1,1,0,0,0
000685.txt,1,1,1,1,1
000686.txt,1,0,0,0,0
000687.txt,0,0,0,0,0
000688.txt,1,0,0,0,0
000689.txt,1,0,0,0,0
000690.txt,1,0,0,0,0
000691.txt,1,1,0,0,0
000692.txt,1,1,0,0,0
000693.txt,1,0,0,0,0
000694.txt,1,1,0,0,1
000695.txt,0,0,1,1,0
000696.txt,1,1,0,0,0
000697.txt,1,0,0,0,0
000698.txt,1,1,1,0,0
000699.txt,1,1,0,0,0
000700.txt,1,0,0,0,0
000701.txt,0,0,1,1,0
000702.txt,1,0,0,0,0
000703.txt,0,0,1,1,0
000704.txt,1,1,0,0,0
000705.txt,1,0,1,0,0
000706.txt,1,0,0,0,0
000707.txt,1,1,0,0,0
000708.txt,1,1,0,0,0
000709.txt,1,1,0,0,0
000710.txt,1,0,0,0,0
000711.txt,1,0,0,0,0
000712.txt,1,0,0,0,0
000713.txt,1,0,1,0,0
000714.txt,1,1,0,0,0
000715.txt,1,0,0,0,0
000716.txt,1,0,0,0,0
000717.txt,1,0,0,0,0
000718.txt,1,0,1,1,1
000719.txt,1,1,0,0,0
000720.txt,0,0,1,1,0
000721.txt,0,0,1,1,0
000722.txt,0,0,1,0,0
000723.txt,1,0,0,0,0
000724.txt,1,0,0,0,0
000725.txt,1,1,0,0,0
000726.txt,0,0,1,1,0
000727.txt,1,1,1,1,1
000728.txt,1,1,0,0,0
000729.txt,1,1,0,0,0
000730.txt,0,0,0,0,0
000731.txt,1,0,1,1,1
000732.txt,1,1,0,0,0
000733.txt,1,0,0,0,0
000734.txt,1,1,1,1,1
000735.txt,1,0,0,0,0
000736.txt,1,1,1,0,0
000737.txt,1,1,0,0,1
000738.txt,1,0,0,0,0
000739.txt,1,0,0,0,0
000740.txt,1,1,0,0,0
000741.txt,1,1,0,0,1
000742.txt,1,1,1,0,0
000743.txt,1,0,0,0,0
000744.txt,0,0,1,1,0
000745.txt,1,1,0,0,0
000746.txt,0,0,1,1,0
000747.txt,1,0,0,0,0
000748.txt,1,0,0,0,0
000749.txt,1,1,0,0,0
000750.txt,1,0,0,0,0
000751.txt,1,1,0,0,0
000752.txt,1,0,0,0,0
000753.txt,1,1,0,0,0
000754.txt,1,0,1,1,0
000755.txt,1,0,1,0,0
000756.txt,1,1,0,0,0
000757.txt,1,1,0,0,1
000758.txt,1,0,0,0,0
000759.txt,1,0,0,0,0
000760.txt,1,1,1,0,1
000761.txt,1,1,1,0,0
000762.txt,1,1,0,0,0
000763.txt,1,0,1,0,0
000764.txt,1,0,1,1,1
000765.txt,1,0,1,0,0
000766.txt,1,0,0,0,0
000767.txt,1,0,0,0,0
000768.txt,1,1,0,0,0
000769.txt,0,0,1,0,0
000770.txt,0,0,1,1,1
000771.txt,1,0,1,0,0
000772.txt,1,0,0,0,0
000773.txt,1,0,1,0,0
000774.txt,1,0,1,1,0
000775.txt,1,0,0,0,0
000776.txt,1,0,0,0,0
000777.txt,1,0,0,0,0
000778.txt,1,1,0,0,1
000779.txt,1,1,0,0,0
000780.txt,1,1,1,1,1
000781.txt,1,0,0,0,0
000782.txt,1,1,1,1,0
000783.txt,1,1,0,0,0
000784.txt,0,0,1,1,0
000785.txt,1,1,0,0,0
000786.txt,1,0,0,0,0
000787.txt,1,0,1,0,0
000788.txt,1,1,1,0,0
000789.txt,0,0,1,1,0
000790.txt,1,0,0,0,0
000791.txt,1,1,0,0,0
000792.txt,1,0,0,0,0
000793.txt,1,1,0,0,0
000794.txt,0,0,0,0,0
000795.txt,1,1,0,0,0
000796.txt,1,1,1,1,1
000797.txt,1,0,1,0,0
000798.txt,1,1,0,0,1
000799.txt,1,0,1,0,0
000800.txt,1,0,0,0,0
000801.txt,1,1,1,1,0
000802.txt,1,1,0,0,0
000803.txt,1,0,1,0,0
000804.txt,1,0,1,0,0
000805.txt,1,1,0,0,0
000806.txt,0,0,1,0,0
000807.txt,1,0,0,0,0
000808.txt,1,0,1,0,0
000809.txt,1,1,1,1,1
000810.txt,1,0,0,0,0
000811.txt,0,0,1,1,0
000812.txt,1,0,1,0,0
000813.txt,0,0,0,0,0
000814.txt,1,1,0,0,0
000815.txt,1,0,0,0,0
000816.txt,1,0,1,1,0
000817.txt,1,1,0,0,0
000818.txt,1,0,0,0,0
000819.txt,1,1,0,0,0
000820.txt,1,0,0,0,0
000821.txt,1,1,0,0,0
000822.txt,1,0,0,0,0
000823.txt,1,1,0,0,0
000824.txt,0,0,0,0,0
000825.txt,0,0,1,1,0
000826.txt,1,0,1,1,1
000827.txt,0,0,1,1,0
000828.txt,1,0,0,0,0
000829.txt,1,0,0,0,0
000830.txt,1,0,0,0,0
000831.txt,1,1,0,0,1
000832.txt,1,0,0,0,0
000833.txt,1,1,0,0,0
000834.txt,0,0,0,0,0
000835.txt,0,0,0,0,0
000836.txt,1,0,0,0,0
000837.txt,1,0,0,0,0
000838.txt,1,0,0,0,0
000839.txt,1,0,0,0,0
000840.txt,0,0,1,1,1
000841.txt,0,0,1,1,0
000842.txt,1,0,0,0,0
000843.txt,1,1,0,0,0
000844.txt,1,0,0,0,0
000845.txt,1,1,0,0,0
000846.txt,1,0,1,0,0
000847.txt,1,0,0,0,0
000848.txt,1,1,0,0,0
000849.txt,1,1,0,0,0
000850.txt,1,1,0,0,0
000851.txt,1,0,0,0,0
000852.txt,1,0,0,0,0
000853.txt,1,0,0,0,0
000854.txt,1,0,0,0,0
000855.txt,1,0,1,0,0
000856.txt,1,1,0,0,0
000857.txt,1,0,0,0,0
000858.txt,1,0,0,0,0
000859.txt,1,1,1,0,0
000860.txt,1,0,1,0,0
000861.txt,0,0,1,1,0
000862.txt,0,0,1,1,0
000863.txt,0,0,0,0,0
000864.txt,1,1,0,0,0
000865.txt,1,1,0,0,0
000866.txt,1,1,0,0,0
000867.txt,1,1,0,0,0
